Team,Tag,Photo,Ground,Shrub,Canopy,Percent_Cnpy_Open
A,1,2,1,1,1,53.89
A,2,3,1,1,1,67.9
A,3,4,2,0,2,65.77
A,4,5,2,0,1,61.2
A,5,6,1,0,3,45.56
A,6,7,2,0,3,60.18
A,7,8,2,1,1,62.28
A,9,9,1,0,3,56.76
A,117,10,1,0,2,56.76
A,116,11,2,1,2,31.16
A,114,12,3,1,2,15.83
A,113,13,0,1,2,16.16
A,112,14,0,0,2,15.78
A,110,15,2,0,2,44.01
A,109,16,1,0,1,25.06
A,108,17,3,2,1,31.02
A,107,18,3,0,2,25.61
A,105,19,1,1,2,18.12
A,104,20,1,2,2,20.2
A,103,21,1,3,2,16.83
A,102,22,1,3,2,25.09
A,100,23,1,1,2,26.91
A,14,24,1,0,2,29.05
A,15,25,3,3,2,28.99
A,16,26,1,3,2,25.32
A,17,27,0,3,1,26.8
A,18,28,1,1,2,22.17
A,19,29,1,2,2,19.91
A,20,30,1,2,2,19.11
A,21,31,1,3,2,17.01
A,NA,NA,NA,NA,NA,NA
A,NA,NA,NA,NA,NA,NA
A,NA,NA,NA,NA,NA,NA
A,NA,NA,NA,NA,NA,NA
A,NA,NA,NA,NA,NA,NA
A,NA,NA,NA,NA,NA,NA
B,33,2,3,2,1,27.72
B,34,3,3,1,0,51.15
B,35,4,2,2,1,28.69
B,36,5,1,1,3,21.49
B,37,8,1,3,1,22.15
B,38,9,2,3,2,22.92
B,39,11,1,1,2,24.51
B,40,12,1,1,2,18.43
B,41,13,1,1,2,20.76
B,42,14,1,1,2,18.51
B,43,15,3,1,0,44.88
B,44,16,0,1,3,20.33
B,45,17,2,2,3,11.9
B,46,18,1,2,2,NA
B,47,19,1,3,2,NA
B,48,20,2,1,3,NA
B,49,21,3,2,1,NA
B,50,22,1,1,3,NA
B,51,23,3,1,3,NA
B,52,24,2,0,3,11.7
B,53,25,1,0,3,NA
B,54,26,3,2,1,35.18
B,159,27,1,2,2,NA
B,158,28,2,1,3,NA
B,157,29,1,1,2,13.17
B,155,30,2,2,2,14.95
B,154,31,3,1,1,21.58
B,153,32,1,1,2,23.33
B,152,33,1,0,2,24.94
B,151,34,0,0,2,16.47
B,150,35,1,2,2,16.39
B,149,36,1,1,2,16.23
B,148,37,2,1,1,22.38
B,146,38,1,0,1,19.28
B,145,39,1,1,2,19.15
B,144,40,1,2,1,19.17
B,143,41,1,2,1,18.35
C,182,1,1,1,3,16.58
C,183,2,0,3,3,13.24
C,184,3,0,3,3,11.82
C,185,4,0,2,3,11.95
C,186,5,1,1,2,10.83
C,187,6,0,1,2,12.54
C,188,7,1,1,2,12.48
C,190,8,1,1,3,14.03
C,191,9,1,1,3,12.62
C,192,10,1,1,2,14.85
C,90,11,2,1,2,NA
C,89,12,0,1,3,19.32
C,88,13,1,1,3,16.68
C,87,14,1,1,3,14.15
C,86,15,0,2,3,13.27
C,85,16,1,2,3,16.35
C,84,17,0,2,1,30.29
C,83,18,2,1,3,13.77
C,82,19,1,1,3,12.13
C,81,20,1,1,3,14.56
C,80,21,3,2,2,15.33
C,79,22,1,3,2,13.63
C,78,23,0,3,2,14
C,77,24,2,3,3,16.38
C,76,25,0,3,3,16.7
C,75,26,3,2,2,26.21
C,NA,NA,NA,NA,NA,NA
C,NA,NA,NA,NA,NA,NA
C,NA,NA,NA,NA,NA,NA
C,NA,NA,NA,NA,NA,NA
C,NA,NA,NA,NA,NA,NA
C,NA,NA,NA,NA,NA,NA
C,NA,NA,NA,NA,NA,NA
C,NA,NA,NA,NA,NA,NA
C,NA,NA,NA,NA,NA,NA
C,NA,NA,NA,NA,NA,NA
NA,162,2,2,0,3,NA
NA,163,3,2,0,1,NA
NA,165,4,0,3,2,NA
NA,166,5,3,0,2,NA
NA,167,6,1,2,3,NA
NA,169,7,2,0,3,NA
NA,170,8,1,2,2,NA
NA,171,9,3,2,0,NA
NA,172,10,1,1,1,NA
NA,173,11,1,3,1,NA
NA,175,12,2,3,1,NA
NA,176,13,2,1,2,NA
NA,177,14,2,1,2,NA
NA,178,15,2,2,3,NA
NA,73,16,1,3,3,NA
NA,72,17,0,1,3,NA
NA,71,18,2,2,0,NA
NA,70,19,1,3,3,NA
NA,60,20,1,2,2,NA
NA,59,21,2,3,1,NA
NA,58,22,1,1,2,NA
NA,57,23,1,2,2,NA
NA,56,24,1,3,1,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
E,119,2,2,1,2,21.05
E,120,4,3,0,0,58.81
E,121,3,2,0,0,42.48
E,122,5,1,2,3,17.61
E,123,6,0,3,1,20.57
E,124,7,0,2,2,21.54
E,125,8,1,3,3,21.81
E,126,9,2,2,2,20.46
E,127,10,1,2,2,14.85
E,128,11,2,2,2,14.71
E,129,12,3,2,1,31.56
E,130,13,2,3,1,28.64
E,131,14,2,1,3,13.85
E,132,15,1,1,3,18.88
E,133,16,3,1,2,18.28
E,134,17,1,2,3,15.38
E,136,18,1,2,3,29.11
E,137,19,3,0,0,50.62
E,28,20,3,1,2,12.63
E,29,21,3,1,2,26.44
E,25,22,3,0,0,68.1
E,24,23,2,1,2,12.02
E,23,24,2,2,2,22.4
E,22,25,3,2,2,26.8
E,NA,NA,NA,NA,NA,NA
E,NA,NA,NA,NA,NA,NA
E,NA,NA,NA,NA,NA,NA
E,NA,NA,NA,NA,NA,NA
E,NA,NA,NA,NA,NA,NA
E,NA,NA,NA,NA,NA,NA
E,NA,NA,NA,NA,NA,NA
E,NA,NA,NA,NA,NA,NA
E,NA,NA,NA,NA,NA,NA
E,NA,NA,NA,NA,NA,NA
E,NA,NA,NA,NA,NA,NA
E,NA,NA,NA,NA,NA,NA
